b;0,0,0,1;64,0,0,1;128,0,0,1;192,0,-0.7351935643648314,-0.6778572290066209;256,0,0.694013606729188,-0.7199618834874134;320,0,0,1;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,0,1;192,64,-0.3134247936859082,-0.9496130257652039;256,64,0.49177155294224867,-0.8707242615873116;320,64,0,1;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,0,1;192,128,-0.30465746875197836,-0.9524619817786101;256,128,-0.3876330996469642,-0.9218137447760728;320,128,0,1;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,0,1;192,192,-0.2745121589924305,-0.9615836284823669;256,192,-0.31080858456791977,-0.9504725265671209;320,192,0,1;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0,1;192,256,0.38178056581725234,-0.9242529954315857;256,256,-0.5780758989544647,-0.8159829992395599;320,256,0,1;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,0,1;192,320,-0.23651053678163497,0.9716289240194853;256,320,-0.951770994298331,-0.30680934537977533;320,320,0,1;384,320,0,1;448,320,0,1;0,384,0,1;64,384,0,1;128,384,-0.7262805528999133,0.6873983986593192;192,384,0.6326692855313769,-0.7744220910751559;256,384,0,1;320,384,0,1;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0.8369996322798958,-0.5472034498825086;256,448,-0.4331235324483579,0.9013345692025001;320,448,-0.4082064601258591,0.9128896351210893;384,448,0,1;448,448,0,1
b;0,0,0,1;64,0,0,1;128,0,0,1;192,0,-0.999924382025605,0.01229757011412468;256,0,-0.15609068363203926,0.9877427288941603;320,0,0.3807675352561941,-0.9246707976868973;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,0,1;192,64,-0.3237222520638422,-0.9461521566422149;256,64,0,1;320,64,-0.9451148419067094,0.32673832895400556;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,0,1;192,128,0.38396374605814815,-0.9233481692801443;256,128,-0.7999999999999999,-0.6000000000000001;320,128,-0.38540872106667257,-0.9227459659764174;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,0,1;192,192,0.3390379741570591,-0.940772688846502;256,192,-0.6395482357008624,-0.7687509702185189;320,192,0,1;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0,1;192,256,0.9839629942935386,-0.17837271613364483;256,256,-0.9788053421670115,-0.20479282737762003;320,256,0,1;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,-0.5609762724386963,0.8278318801307336;192,320,0.5370956730954587,0.8435213322389281;256,320,0,1;320,320,0,1;384,320,0,1;448,320,0,1;0,384,0,1;64,384,0,1;128,384,0,1;192,384,0.38548844481195615,-0.9227126632470476;256,384,-0.23244566109346568,0.9726093844081608;320,384,0.09433667187847218,0.9955403519390328;384,384,-0.7633433879189748,0.645992935039062;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0.7786831907438668,-0.6274173160289336;256,448,-0.5977465745904829,0.8016851205837268;320,448,-0.9985190486981058,0.05440321118307143;384,448,0,1;448,448,0,1
b;0,0,0,1;64,0,0,1;128,0,0,1;192,0,-0.9989575369068265,-0.04564909042956543;256,0,0.46097861813565655,0.8874112426726071;320,0,0.8628950115816318,-0.5053832199307132;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,0,1;192,64,-0.3586714939931766,-0.9334638500749254;256,64,0,1;320,64,0.46858842423354874,-0.8834165997276255;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,0,1;192,128,-0.3335474231830912,-0.9427333220417744;256,128,0,1;320,128,-0.5279788294807153,-0.8492575319772995;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,0,1;192,192,-0.6138007310232068,-0.7894609949803582;256,192,-0.8811742322743356,-0.472791679681163;320,192,-0.9417956129023288,-0.3361859954220681;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0,1;192,256,0.8602088358709465,0.5099419169763856;256,256,-0.9597454092182934,-0.2808714109417515;320,256,0,1;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,-0.840802932076813,0.5413413243149227;192,320,-0.8982551426211673,0.4394743436818882;256,320,0,1;320,320,0,1;384,320,0,1;448,320,0,1;0,384,0,1;64,384,-0.5280080332430145,0.8492393754595012;128,384,-0.6074863258677626,0.7943301353239006;192,384,0.39875893615965585,-0.9170557839263758;256,384,0.3537596411776996,0.9353363653113383;320,384,-0.7716982058794379,0.6359888985213946;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0.896038548101465,-0.4439762609827451;256,448,-0.9441870682174935,0.3294097451667969;320,448,0,1;384,448,0,1;448,448,0,1
b;0,0,0,1;64,0,0,1;128,0,0,1;192,0,-0.9984394200489671,0.05584554138230151;256,0,0.925642806127961,0.3783984612330682;320,0,0,1;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,0,1;192,64,-0.6002040331130446,-0.7998469345036182;256,64,0.4724769748880291,-0.8813430139285481;320,64,0,1;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,0,1;192,128,-0.2895653940345327,-0.9571582327795263;256,128,-0.2733584085495394,-0.9619122519623414;320,128,0,1;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,0,1;192,192,-0.26978518689803727,-0.9629205330297984;256,192,-0.5956157901034537,-0.8032694632434614;320,192,0,1;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0,1;192,256,0.7431255652205067,0.6691519964221153;256,256,-0.852284992668763,-0.5230777105474925;320,256,0,1;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,-0.8263832006738686,0.5631081651370475;192,320,-0.968493441932906,0.2490390590508908;256,320,0,1;320,320,0,1;384,320,0,1;448,320,0,1;0,384,0,1;64,384,-0.17455007124683453,0.9846482989513184;128,384,-0.630165042459843,0.7764612155552809;192,384,0.34283706945346176,-0.9393948817236351;256,384,-0.0002779708076950862,0.9999999613661144;320,384,0,1;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0.8848253998896302,-0.4659227529431849;256,448,0.6923941686683232,0.7215194489368263;320,448,-0.7381471745760829,0.6746397176755499;384,448,0,1;448,448,0,1
b;0,0,0,1;64,0,0,1;128,0,0,1;192,0,-0.6794928459856092,0.7336821329802009;256,0,0.8976288801779118,0.4407520771029313;320,0,0,1;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,-0.5910091974519511,-0.8066648179555128;192,64,-0.7339943085655486,-0.6791556191281807;256,64,0.3385197983373014,-0.9409592691151264;320,64,0,1;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,-0.2884614734836864,-0.9574915029991757;192,128,0,1;256,128,-0.27739607457616267,-0.9607556493769558;320,128,0,1;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,-0.8477867156413255,-0.5303373311224608;192,192,0,1;256,192,-0.29427990497485074,-0.9557192775747452;320,192,0,1;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0.5503898319993049,-0.8349077990004506;192,256,0,1;256,256,-0.5271305939164634,-0.849784288485776;320,256,0,1;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,0.3072433024649665,-0.9516309962850207;192,320,-0.9838605082792545,0.1789371404948868;256,320,-0.9343149021719958,-0.356448682953569;320,320,0,1;384,320,0,1;448,320,0,1;0,384,0,1;64,384,0,1;128,384,-0.4175117737977387,0.9086715131114577;192,384,0.5180340562985595,0.8553599923510924;256,384,0.9962264150943397,-0.08679245283018824;320,384,-0.18244405942997477,0.9832162352090775;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0.1876928779409548,0.9822277656278313;256,448,-0.23414090744058927,0.97220267200975;320,448,-0.42563717136017476,0.9048939155262948;384,448,0,1;448,448,0,1
b;0,0,0,1;64,0,0,1;128,0,0,1;192,0,-0.9998706945434884,0.016080864190771843;256,0,0.6889546507145942,-0.7248044489782962;320,0,0,1;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,0,1;192,64,-0.38093384881057835,-0.9246022944111482;256,64,0.36491528412969165,-0.9310407270407383;320,64,0,1;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,0,1;192,128,-0.28309485706118087,-0.9590919152539602;256,128,-0.3617458149139702,-0.9322767643743073;320,128,0,1;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,0,1;192,192,-0.27462713062579325,-0.9615507990346862;256,192,-0.4033728613395103,-0.9150357013443662;320,192,0,1;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0,1;192,256,0.273193990597774,0.9619589614433994;256,256,-0.6983254166745991,-0.7157804219355595;320,256,0,1;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,0,1;192,320,-0.5168221020035586,0.8560928190801647;256,320,0,1;320,320,0,1;384,320,0,1;448,320,0,1;0,384,0,1;64,384,0,1;128,384,-0.766616937446814,0.6421047198235406;192,384,0.8223566139539493,-0.5689724066123024;256,384,0.11724441821149632,0.993103089511984;320,384,0,1;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0.8708204312560658,-0.4916012372919739;256,448,-0.8733066298861916,0.4871709455589716;320,448,-0.42484542716233176,0.9052659073549914;384,448,0,1;448,448,0,1
b;0,0,0,1;64,0,0,1;128,0,0,1;192,0,0,1;256,0,-0.39258395162899784,0.9197161741120794;320,0,0.9385570897129379,0.3451240202442887;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,0,1;192,64,-0.7892760125156518,-0.6140385786474597;256,64,-0.994662989819907,0.10317721009275194;320,64,0.9974930636814433,0.07076431238560806;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,0,1;192,128,-0.37809322012422264,-0.9257675285383994;256,128,-0.7999999999999999,-0.6000000000000001;320,128,-0.4029194685609242,-0.9152354352048343;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,0,1;192,192,-0.29623010341074146,-0.9551166032654136;256,192,-0.6597711377497626,-0.751466596591215;320,192,0,1;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0,1;192,256,0.8594901295257648,0.5111523425044475;256,256,-0.9313505594157394,-0.3641237914171351;320,256,0,1;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,-0.7640017771222489,0.6452141385261527;192,320,-0.9565286154475391,0.29163848825217475;256,320,0,1;320,320,0,1;384,320,0,1;448,320,0,1;0,384,0,1;64,384,0,1;128,384,-0.3432874971387397,0.9392303733952709;192,384,0.5956616003770634,-0.8032354933867375;256,384,0.4191869777432053,0.9078999271343275;320,384,-0.44514407287764174,0.8954589629803841;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0.8842139052559582,-0.4670821873632171;256,448,-0.9627805201712624,0.2702844242252104;320,448,0,1;384,448,0,1;448,448,0,1
b;0,0,0,1;64,0,0,1;128,0,0,1;192,0,-0.9250537031749722,-0.3798363413922773;256,0,-0.6636062343393028,0.7480820581634146;320,0,0.6636770340450489,-0.7480192474002036;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,0,1;192,64,-0.6552637363185728,-0.755400182595837;256,64,-0.6702529402119621,-0.7421327348508621;320,64,-0.37790837947590644,-0.925842997879173;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,0,1;192,128,-0.2836808985963776,-0.9589187388780928;256,128,-0.7081195204204852,-0.7060925893956558;320,128,0,1;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,0,1;192,192,0.789949973385574,0.6131712970680631;256,192,-0.8403778588160717,-0.5420009727036609;320,192,0,1;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0,1;192,256,-0.9090764034673772,0.41662944286118136;256,256,0,1;320,256,0,1;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,-0.9386064396415159,0.3449897845784385;192,320,0.9573524592684578,-0.28892259989941244;256,320,0,1;320,320,0,1;384,320,0,1;448,320,0,1;0,384,0,1;64,384,0,1;128,384,0,1;192,384,0.5594633882052303,-0.8288550640841399;256,384,0.6183030162571356,0.7859398069110181;320,384,-0.25342683377239894,0.9673545575041743;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0.8845412328878153,-0.4664620105874687;256,448,-0.7858389178002887,0.6184312373016672;320,448,0,1;384,448,0,1;448,448,0,1
b;0,0,0,1;64,0,0,1;128,0,0,1;192,0,-0.991891129264886,-0.12709047047528488;256,0,0.5474717062793081,0.836824193498027;320,0,0.9910848006548809,-0.13323257075833636;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,0,1;192,64,-0.5525086534314676,-0.8335071612669842;256,64,0,1;320,64,0.6271030357389981,-0.7789363148338463;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,0,1;192,128,-0.27357304634935103,-0.9618512298225417;256,128,0,1;320,128,-0.5727604734245245,-0.8197227824591156;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,0,1;192,192,-0.4127047584905259,-0.9108648540366878;256,192,0,1;320,192,-0.5073246702220147,-0.861754999396072;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0,1;192,256,-0.41730152522487285,-0.9087680876026594;256,256,-0.970786641831585,-0.23994436030328764;320,256,-0.8594944829748148,-0.5111450222156682;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,0,1;192,320,0.615722437073816,0.7879631212714723;256,320,-0.9950685214560402,0.09918990678133675;320,320,0,1;384,320,0,1;448,320,0,1;0,384,0,1;64,384,0,1;128,384,-0.705868685541638,0.7083427127963697;192,384,0.8019184641768019,-0.5974334915388653;256,384,-0.06345298520819831,0.997984828876756;320,384,-0.14744864745110584,0.989069712590998;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0.9880803131591877,-0.15393925668016503;256,448,-0.38509374317821676,0.9228774615110013;320,448,-0.8650985487465889,-0.5016019347615652;384,448,0,1;448,448,0,1
b;0,0,0,1;64,0,0,1;128,0,0,1;192,0,-0.8838996996983811,-0.46767651306550734;256,0,0.7746457066684482,-0.6323954689433982;320,0,0,1;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,0,1;192,64,-0.5483345709901289,-0.8362590497310455;256,64,0.39406770998091495,-0.9190814109481257;320,64,0,1;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,-0.4945508089420161,-0.8691487199408382;192,128,-0.4886207964430012,-0.8724962563148378;256,128,-0.30508793057261757,-0.952324185673617;320,128,0,1;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,-0.29536752259850907,-0.9553837064729643;192,192,0,1;256,192,-0.4289116433333723,-0.9033464463942203;320,192,0,1;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0.3174159742948897,-0.9482864014961018;192,256,-0.8870747405357157,-0.46162582759578413;256,256,-0.6045843404557573,-0.7965411321932326;320,256,0,1;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,-0.6762220100181727,-0.7366978981692444;192,320,-0.9399561756011243,0.34129516250499126;256,320,0,1;320,320,0,1;384,320,0,1;448,320,0,1;0,384,0,1;64,384,0,1;128,384,-0.7360637189806325,0.6769122554662462;192,384,0.7509827789535347,-0.6603217895202508;256,384,0.032305976834483226,0.999478025701801;320,384,0,1;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0.9771161841010494,0.21270628285926146;256,448,-0.2568096377085676,0.966462006485508;320,448,-0.44047607303835895,0.8977643505289715;384,448,0,1;448,448,0,1
